id,section,question,option1,option2,option3,option4,correct
"13","Inyección Electrónica","¿Qué podría causar un aumento en el consumo de combustible en un sistema de inyección MPI?","Una presión de combustible baja.","Un exceso de presión de combustible.","Inyectores de combustible obstruidos.","Válvulas de admisión selladas.","Inyectores de combustible obstruidos."
"14","Inyección Electrónica","¿Cuál es un síntoma de un regulador de presión de combustible defectuoso en un sistema MPI?","Pérdida de potencia del motor.","Exceso de humo en el escape.","Presión de combustible inconsistente.","Altas revoluciones en ralentí.","Presión de combustible inconsistente."
"15","Inyección Electrónica","¿Qué función cumple el sensor de posición del pedal del acelerador en un sistema de inyección MPI?","Controlar la temperatura del motor.","Regular la presión del combustible.","Medir la cantidad de aire admitido.","Monitorear la posición del pedal del acelerador.","Monitorear la posición del pedal del acelerador."
"16","Inyección Electrónica","¿Cuál es un posible efecto de una bujía defectuosa en un motor con sistema de inyección MPI?","Aumento de la eficiencia del combustible.","Encendido irregular o dificultades para arrancar.","Reducción de las emisiones de escape.","Mejora en el rendimiento del ralentí.","Encendido irregular o dificultades para arrancar."
"17","Inyección Electrónica","¿Qué podría causar una mezcla de combustible y aire demasiado rica en un sistema de inyección MPI?","Filtro de aire obstruido.","Sensor de oxígeno defectuoso.","Baja presión de combustible.","Inyectores de combustible con exceso de limpieza.","Sensor de oxígeno defectuoso."
"18","Inyección Electrónica","¿Qué podría causar un ralentí inestable en un motor con sistema de inyección MPI?","Válvula de mariposa atascada.","Bujías en buen estado.","Sensor de posición del cigüeñal defectuoso.","Filtro de aire limpio.","Válvula de mariposa atascada."
"19","Inyección Electrónica","¿Qué función cumple la sonda lambda en un sistema de inyección MPI?","Medir la cantidad de aire admitido.","Controlar la presión del combustible.","Monitorear y ajustar la mezcla aire-combustible.","Regular la temperatura del escape.","Monitorear y ajustar la mezcla aire-combustible."
"20","Inyección Electrónica","¿Cómo afectaría un filtro de combustible obstruido al rendimiento de un sistema de inyección MPI?","Aumentaría la eficiencia del combustible.","Reduciría la presión del combustible.","Mejoraría la combustión.","Causaría una mezcla pobre.","Reduciría la presión del combustible."
"21","Inyección Electrónica","¿Cuál es una posible causa de un código de error relacionado con el sensor de posición del cigüeñal?","Falla en la sonda lambda.","Problema con el alternador.","Sensor de posición del árbol de levas defectuoso.","Falla en la cadena de distribución.","Falla en la cadena de distribución."
"22","Inyección Electrónica","¿Qué sucede si el sensor de temperatura del refrigerante falla en un sistema de inyección MPI?","Aumento del consumo de combustible.","Pérdida de potencia del motor.","Dificultades para arrancar en frío.","Reducción de las emisiones de escape.","Pérdida de potencia del motor."
"23","Inyección Electrónica","¿Cuál es la función del cuerpo de aceleración en un sistema de inyección MPI?","Controlar la cantidad de combustible inyectado.","Regular el ingreso del aire y mejorar el dosado de combustible.","Monitorear la velocidad del vehículo.","Ajustar la presión del combustible.","Regular el ingreso del aire y mejorar el dosado de combustible."
"24","Inyección Electrónica","¿Qué podría causar un fallo en el sensor de posición del pedal del acelerador?","Pérdida de presión de combustible.","Ralentí inestable.","Problemas de arranque en frío.","Respuesta irregular del acelerador.","Respuesta irregular del acelerador."
"25","Inyección Electrónica","¿Cómo afectaría un sensor de oxígeno defectuoso al rendimiento del sistema de inyección MPI?","Aumentaría la eficiencia del combustible.","Provocaría una mezcla oscilante entre pobre o rica.","Mejoraría la aceleración.","Reduciría las emisiones de escape.","Provocaría una mezcla oscilante entre pobre o rica."
"26","Inyección Electrónica","¿Qué podría causar una mezcla de combustible y aire demasiado pobre en un sistema de inyección MPI?","Inyectores obstruidos o tapados","Sensor de posición del árbol de levas defectuoso.","Filtro de aire limpio.","Presión de combustible excesiva.","Inyectores obstruidos o tapados"
"27","Inyección Electrónica","¿Cómo podría afectar una fuga en el sistema de admisión al rendimiento de un motor con inyección MPI?","Mejoraría la eficiencia del combustible.","Causaría una mezcla rica.","Reduciría la presión del combustible.","Aumentaría la velocidad del ralentí.","Causaría una mezcla rica."
"28","Inyección Electrónica","¿Cuál es la importancia del tiempo de inyección en un sistema de inyección MPI?","Controlar la presión del combustible.","Regular la temperatura del motor.","Determinar el momento preciso de la inyección de combustible.","Monitorear la posición del cigüeñal.","Determinar el momento preciso de la inyección de combustible."
"29","Inyección Electrónica","¿Cuál es un problema común asociado con la acumulación de depósitos de carbono en los inyectores de un sistema de inyección directa de gasolina?","Mayor eficiencia de combustible.","Pérdida de potencia debido a la obstrucción de los inyectores.","Mejora en la atomización del combustible.","Aumento en la vida útil de los inyectores.","Pérdida de potencia debido a la obstrucción de los inyectores."
"30","Inyección Electrónica","¿Qué efecto podría tener una presión de combustible insuficiente en un sistema de inyección directa de gasolina?","Aumento en el rendimiento del motor.","Problemas de arranque en frío.","Reducción de las emisiones de escape.","Mayor durabilidad de los inyectores.","Problemas de arranque en frío."
"31","Inyección Electrónica","¿Cuál es una posible consecuencia de la contaminación en el sistema de admisión en un motor de inyección directa?","Mejora en la eficiencia del combustible.","Desgaste prematuro de los inyectores.","Reducción en la presión de combustible.","Incremento en la potencia del motor.","Desgaste prematuro de los inyectores."
"32","Inyección Electrónica","¿Por qué es crítica la precisión del sensor de posición del árbol de levas en un sistema de inyección directa de gasolina?","Para determinar la temperatura del motor.","Para sincronizar la apertura de las válvulas de admisión.","Para regular la presión del combustible.","Para ajustar la mezcla aire-combustible.","Para sincronizar la apertura de las válvulas de admisión."
"33","Inyección Electrónica","¿Cuál es un síntoma común de la formación de depósitos en las válvulas de admisión en un sistema de inyección directa?","Aumento en la eficiencia de la combustión.","Pérdida de potencia y eficiencia del motor.","Mejora en la respuesta del acelerador.","Reducción de las emisiones de CO2.","Pérdida de potencia y eficiencia del motor."
"34","Inyección Electrónica","¿Qué función cumple el sensor de presión del riel de combustible en un sistema de inyección directa de gasolina?","Monitorear la temperatura del combustible.","Controlar la presión de combustible.","Medir la presión del combustible en el riel para la variación de la pulverización en diferentes rpm","Regular la mezcla aire-combustible.","Medir la presión del combustible en el riel para la variación de la pulverización en diferentes rpm"
"35","Inyección Electrónica","¿Cómo podría afectar la falta de sellado en los inyectores en un sistema de inyección directa?","Mayor eficiencia de la combustión.","Pérdida de presión de combustible.","Mejora en la respuesta del acelerador.","Reducción en las emisiones de CO.","Pérdida de presión de combustible."
"36","Inyección Electrónica","¿Qué papel desempeña el sistema de control electrónico en un sistema de inyección directa de gasolina?","Regular la temperatura del aceite.","Ajustar la relación de compresión.","Gestionar la cantidad y el momento de la inyección de combustible y salto de chispa","Ninguna","Ninguna"
"37","Inyección Electrónica","¿Por qué es esencial el tiempo de inyección preciso en un sistema de inyección directa?","Para controlar la presión del combustible.","Para garantizar una combustión eficiente y reducir las emisiones.","Para regular la temperatura del motor.","Para mejorar la respuesta de la aceleración del vehículo","Para garantizar una combustión eficiente y reducir las emisiones."
"38","Inyección Electrónica","¿Cuál es un posible efecto de la variación en la calidad del combustible en un sistema de inyección directa?","Mejora en la eficiencia del motor.","Mayor durabilidad de los inyectores.","Formación de depósitos en las válvulas de admisión.","Aumento en la vida útil del sensor de presión del riel de combustible.","Formación de depósitos en las válvulas de admisión."
"39","Inyección Electrónica","¿Cuáles son posibles causas de altas emisiones de NOx (óxidos de nitrógeno) en un sistema de inyección directa de gasolina?","Combustión a alta temperatura.","Presión de combustible baja.","Depósitos en los inyectores.","Sensor de oxígeno defectuoso.","Combustión a alta temperatura."
"40","Inyección Electrónica","¿Qué factores podrían contribuir a emisiones elevadas de CO (monóxido de carbono) en un sistema de inyección directa?","Mezcla pobre.","Baja presión de combustible.","Inyectores obstruidos.","Sensor de temperatura del refrigerante defectuoso.","Mezcla pobre."
"41","Inyección Electrónica","¿Cuáles son posibles causas de emisiones de hidrocarburos no quemados en un sistema de inyección directa?","Inyectores en buen estado.","Fuga en el sistema de escape.","Aumento en la presión del combustible.","Sensor de posición del árbol de levas defectuoso.","Fuga en el sistema de escape."
"42","Inyección Electrónica","¿Cómo podría contribuir la formación de depósitos en las válvulas de admisión a un aumento en las emisiones de partículas?","Mayor eficiencia de la combustión.","Reducción en la eficiencia de la combustión.","Ajuste preciso del tiempo de inyección.","Presión de combustible constante.","Reducción en la eficiencia de la combustión."
"43","Inyección Electrónica","¿Cuáles son posibles efectos de una mezcla aire-combustible desequilibrada en términos de emisiones?","Aumento en las emisiones de CO2.","Aumento en las emisiones de óxidos de nitrógeno (NOx).","Reducción en las emisiones de hidrocarburos.","Mayor vida útil de los sensores de oxígeno.","Aumento en las emisiones de óxidos de nitrógeno (NOx)."
"44","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de recirculación de gases de escape (EGR) a las emisiones en un motor de inyección directa?","Aumento en las emisiones de NOx.","Reducción en las emisiones de CO.","Mejora en la eficiencia del combustible.","Menor formación de depósitos en las válvulas de admisión.","Aumento en las emisiones de NOx."
"45","Inyección Electrónica","¿Cuáles son posibles efectos de la variación en la calidad del combustible en las emisiones en un sistema de inyección directa?","Aumento en las emisiones de partículas.","Reducción en las emisiones de CO.","Mejora en la eficiencia del sistema EGR.","Menor formación de depósitos en los inyectores.","Aumento en las emisiones de partículas."
"46","Inyección Electrónica","¿Cómo afectaría un fallo en el sistema de post-tratamiento de gases de escape a las emisiones en un motor de inyección directa?","Aumento en las emisiones de NOx.","Reducción en las emisiones de CO2.","Mayor eficiencia en la quema de hidrocarburos.","Menor formación de depósitos en las válvulas de admisión.","Aumento en las emisiones de NOx."
"47","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un mal funcionamiento en el sistema de control de emisiones en un motor de inyección directa?","Reducción en las emisiones de NOx.","Aumento en las emisiones totales de gases contaminantes.","Mejora en la eficiencia del combustible.","Menor formación de depósitos en los inyectores.","Aumento en las emisiones totales de gases contaminantes."
"48","Inyección Electrónica","¿Cómo podría afectar la calidad del combustible a las emisiones en un sistema SPCCI?","Combustibles de baja calidad pueden aumentar las emisiones de partículas.","Mayor eficiencia de combustión con cualquier tipo de combustible.","Baja presión de combustible.","Mejora en la eficiencia del sistema EGR.","Combustibles de baja calidad pueden aumentar las emisiones de partículas."
"49","Inyección Electrónica","¿Cuáles son posibles consecuencias de la formación de depósitos en las bujías en un sistema SPCCI?","Mayor eficiencia de combustión.","Dificultades en la ignición y aumento de las emisiones de CO.","Menor formación de NOx.","Mejora en la eficiencia del sistema de post-tratamiento de gases de escape.","Dificultades en la ignición y aumento de las emisiones de CO."
"50","Inyección Electrónica","¿Cómo podría contribuir una mezcla aire-combustible pobre a las emisiones en un sistema SPCCI?","Reducción en las emisiones de CO2.","Aumento en las emisiones de CO y partículas.","Mejora en la eficiencia del sistema EGR.","Menor formación de depósitos en el sistema de escape.","Aumento en las emisiones de CO y partículas."
"51","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de control electrónico a las emisiones en un sistema SPCCI?","Reducción en las emisiones de CO2.","Aumento en las emisiones totales debido a una gestión incorrecta de la inyección y la ignición.","Menor formación de depósitos en las bujías.","Mejora en la eficiencia del sistema EGR.","Aumento en las emisiones totales debido a una gestión incorrecta de la inyección y la ignición."
"52","Inyección Electrónica","¿Cuáles podrían ser posibles consecuencias de un fallo en los sensores de posición del cigüeñal y del árbol de levas en un sistema SPCCI?","Problemas de sincronización en la inyección y la ignición.","Mayor eficiencia del sistema EGR.","Reducción en las emisiones de CO2.","Menor formación de depósitos en el sistema de escape.","Problemas de sincronización en la inyección y la ignición."
"53","Inyección Electrónica","¿Cómo podría afectar un mal funcionamiento en los sensores de temperatura del refrigerante y del aceite a un motor SPCCI?","Reducción en las emisiones de NOx.","Problemas en la gestión térmica y posibles fallos en la inyección.","Mejora en la eficiencia del sistema EGR.","Menor formación de depósitos en las bujías.","Problemas en la gestión térmica y posibles fallos en la inyección."
"54","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un fallo en el sistema de encendido por chispa en un motor SPCCI?","Menor formación de depósitos en las bujías.","Problemas en la ignición y la combustión.","Mayor eficiencia de la combustión.","Reducción en las emisiones de CO2.","Problemas en la ignición y la combustión."
"55","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de control electrónico a la gestión de la inyección de combustible en un sistema SPCCI?","Menor formación de depósitos en el sistema de escape.","Reducción en las emisiones de CO2.","Problemas en la cantidad y el momento de la inyección.","Mayor eficiencia del sistema EGR.","Problemas en la cantidad y el momento de la inyección."
"56","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un fallo en los actuadores de los inyectores en un sistema SPCCI?","Reducción en las emisiones de NOx.","Problemas en la inyección de combustible y la formación de mezcla.","Mejora en la eficiencia del sistema EGR.","Menor formación de depósitos en las bujías.","Problemas en la inyección de combustible y la formación de mezcla."
"57","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de control de la presión del combustible a la inyección de combustible en un motor SPCCI?","Mayor eficiencia del sistema EGR.","Reducción en las emisiones de CO2.","Problemas en la cantidad y la presión de inyección de combustible.","Menor formación de depósitos en el sistema de escape.","Problemas en la cantidad y la presión de inyección de combustible."
"58","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de gestión del tiempo de inyección a la eficiencia del combustible en un sistema SPCCI?","Mayor eficiencia del sistema EGR.","Reducción en las emisiones de CO2.","Problemas en el tiempo y la duración de la inyección.","Menor formación de depósitos en el sistema de escape.","Problemas en el tiempo y la duración de la inyección."
"59","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un fallo en el sistema de control de la válvula de mariposa en un motor SPCCI?","Mejora en la eficiencia de la combustión.","Reducción en las emisiones de CO2.","Problemas en la regulación del flujo de aire y la mezcla aire-combustible.","Menor formación de depósitos en las bujías.","Problemas en la regulación del flujo de aire y la mezcla aire-combustible."
"60","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de monitoreo y diagnóstico de a bordo (OBD) a la capacidad del sistema SPCCI para identificar y corregir problemas?","Mayor eficiencia del sistema EGR.","Reducción en las emisiones de CO2.","Dificultades para identificar y corregir fallos en tiempo real.","Menor formación de depósitos en el sistema de escape.","Dificultades para identificar y corregir fallos en tiempo real."
"61","Inyección Electrónica","¿Cuáles podrían ser posibles consecuencias de un fallo en los sensores de nivel de gas y de combustible en un sistema bifuel?","Problemas en la conmutación entre gas y gasolina.","Aumento en las emisiones de CO2.","Reducción en la eficiencia del sistema EGR.","Menor formación de depósitos en el sistema de escape.","Problemas en la conmutación entre gas y gasolina."
"62","Inyección Electrónica","¿Cómo podría afectar un mal funcionamiento en los actuadores de los inyectores de gas a la inyección de combustible en un sistema bifuel?","Reducción en las emisiones de NOx.","Problemas en la inyección de gas y la formación de mezcla, pero funcionamiento normal del motor a nivel mecánico","Mejora en la eficiencia del sistema EGR.","Menor formación de depósitos en las bujías.","Problemas en la inyección de gas y la formación de mezcla, pero funcionamiento normal del motor a nivel mecánico"
"63","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un fallo en los sensores de presión del gas y del combustible en un sistema bifuel?","Mejora en la eficiencia del combustible.","Problemas en la presurización y suministro adecuado de gas.","Reducción en las emisiones de CO2.","Menor formación de depósitos en las bujías.","Problemas en la presurización y suministro adecuado de gas."
"64","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de control de la válvula de mariposa en un motor bifuel?","Mejora en la eficiencia de la combustión.","Reducción en las emisiones de CO2.","Problemas en la regulación del flujo de aire y la mezcla aire-gas.","Menor formación de depósitos en las bujías.","Problemas en la regulación del flujo de aire y la mezcla aire-gas."
"65","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de un fallo en el sistema de conmutación entre gas y gasolina en un vehículo bifuel?","Menor formación de depósitos en el sistema de escape.","Reducción en las emisiones de CO2.","Dificultades en la transición entre los modos de gas y gasolina.","Mayor eficiencia del sistema EGR.","Dificultades en la transición entre los modos de gas y gasolina."
"66","Inyección Electrónica","¿Cómo podría afectar un fallo en el sistema de monitoreo y diagnóstico de a bordo (OBD) a la capacidad del sistema bifuel para identificar y corregir problemas?","Mayor eficiencia del sistema EGR.","Reducción en las emisiones de CO2.","Dificultades para identificar y corregir fallos en tiempo real.","Menor formación de depósitos en el sistema de escape.","Dificultades para identificar y corregir fallos en tiempo real."
"67","Inyección Electrónica","Al observar un oscilograma del sensor de posición del cigüeñal en un sistema MPI, ¿cuáles podrían ser indicadores de un problema?","Patrones de señal inconsistentes.","Amplitud constante de la señal.","Desviaciones en la frecuencia de la señal.","Ausencia completa de señal.","Patrones de señal inconsistentes."
"68","Inyección Electrónica","¿Qué características en un oscilograma del sensor de posición del árbol de levas podrían sugerir un fallo en este componente?","Desincronización entre la señal del cigüeñal y el árbol de levas.","Frecuencia constante de la señal.","Amplitud creciente de la señal.","Forma de onda perfectamente cuadrada.","Desincronización entre la señal del cigüeñal y el árbol de levas."
"69","Inyección Electrónica","Al analizar un oscilograma del sensor de oxígeno arrowband, ¿cuáles son indicadores de un funcionamiento normal?","Alternancia regular entre rica y pobre en la mezcla.","Señal constante en voltaje.","Pérdida completa de señal en momentos específicos.","Frecuencia constante de cambio.","Alternancia regular entre rica y pobre en la mezcla."
"70","Inyección Electrónica","Al examinar un oscilograma de los inyectores, ¿cuáles podrían ser indicadores de una obstrucción en uno de ellos?","Señal de duración de inyección constante.","Desigualdad en los tiempos de apertura, cierre y trabajo de los inyectores.","Amplitud constante de la señal.","Pérdida completa de la señal en un inyector.","Desigualdad en los tiempos de apertura, cierre y trabajo de los inyectores."
"71","Inyección Electrónica","¿Qué características en un oscilograma de la señal de encendido podrían sugerir problemas en el sistema de encendido?","Irregularidades en la frecuencia de la señal.","Frecuencia constante de la señal.","Pérdida completa de la señal en momentos específicos.","Forma de onda perfectamente triangular.","Irregularidades en la frecuencia de la señal."
"72","Inyección Electrónica","Al observar un oscilograma de la presión del riel de combustible, ¿cuáles podrían ser signos de un problema en la bomba de combustible?","Señal constante en voltaje.","Fluctuaciones inusuales en la amplitud de la señal.","Pérdida completa de la señal.","Frecuencia constante de la señal.","Fluctuaciones inusuales en la amplitud de la señal."
"73","Inyección Electrónica","¿Qué características en un oscilograma del sensor de posición del acelerador podrían indicar un mal funcionamiento?","Frecuencia constante de la señal.","Desviaciones en la amplitud de la señal.","Pérdida de la señal en momentos críticos.","Forma de onda perfectamente sinusoidal.","Pérdida de la señal en momentos críticos."
"74","Inyección Electrónica","Al analizar un oscilograma del actuador de la válvula de ralentí, ¿cuáles podrían ser indicadores de un problema en su funcionamiento?","Frecuencia constante de la señal.","Amplitud constante de la señal.","Variaciones inusuales en los tiempos de apertura y cierre de la válvula.","Pérdida completa de la señal.","Variaciones inusuales en los tiempos de apertura y cierre de la válvula."
"75","Inyección Electrónica","¿Qué características en un oscilograma del sensor MAP (Presión Absoluta del Múltiple) podrían indicar problemas en el sistema?","Frecuencia constante de la señal.","Variaciones inusuales en la amplitud de la señal.","Pérdida de la señal en momentos críticos.","Forma de onda perfectamente cuadrada.","Pérdida de la señal en momentos críticos."
"76","Inyección Electrónica","¿Qué podría sugerir un oscilograma de la señal del sensor de temperatura del refrigerante que muestra una lectura constante y máxima?","Problemas en la ECU","Mal funcionamiento del sensor de temperatura del refrigerante.","Circuito abierto en el cableado del sensor.","Inyectores obstruidos.","Circuito abierto en el cableado del sensor."
"77","Inyección Electrónica","¿Qué podría sugerir un oscilograma de la señal del sensor de oxígeno que muestra una onda cuadrada y constante?","Problema en la ECU.","Inyectores obstruidos.","Mal funcionamiento del sensor de oxígeno.","Cableado en corto en el circuito del sensor de oxígeno.","Cableado en corto en el circuito del sensor de oxígeno."
"78","Inyección Electrónica","Al examinar un oscilograma de la señal del sensor de posición del cigüeñal, ¿qué podría indicar una pérdida de señal intermitente?","Mal funcionamiento del sensor de posición del cigüeñal.","Problema en la ECU.","Cableado defectuoso o conector suelto.","Inyectores obstruidos.","Cableado defectuoso o conector suelto."
"79","Inyección Electrónica","¿Qué podría sugerir un oscilograma de la señal del sensor de presión del riel de combustible que muestra picos irregulares?","Inyectores obstruidos.","Mal funcionamiento del sensor de presión del riel.","Problema en la ECU.","Fuga de combustible o problema en el regulador de presión.","Fuga de combustible o problema en el regulador de presión."
"80","Inyección Electrónica","Al analizar la señal del actuador del inyector en un oscilograma, ¿qué podría indicar una forma de onda que no alcanza el voltaje especificado?","Circuito de potencia del inyector defectuoso.","Problema en la ECU.","Inyectores obstruidos.","Mal funcionamiento del sensor de posición del cigüeñal.","Circuito de potencia del inyector defectuoso."
"81","Inyección Electrónica","¿Qué podría sugerir un oscilograma de la señal del sensor de posición del árbol de levas que muestra una falta de coincidencia con la señal del sensor de posición del cigüeñal?","Mal funcionamiento del sensor de posición del árbol de levas.","Inyectores obstruidos.","Problema en la ECU.","Problema de sincronización entre los sensores.","Problema de sincronización entre los sensores."
"82","Inyección Electrónica","Al analizar la señal del sensor de temperatura del aire en un oscilograma, ¿qué podría indicar una lectura constante y baja?","Problema en la ECU.","Circuito de tierra del sensor de temperatura del aire defectuoso.","Inyectores obstruidos.","Mal funcionamiento del sensor de temperatura del aire.","Circuito de tierra del sensor de temperatura del aire defectuoso."
"83","Inyección Electrónica","¿Qué podría sugerir un oscilograma de la señal del actuador de la válvula de mariposa que muestra una variación excesiva?","Problema en la ECU.","Inyectores obstruidos.","Fallo en el motor de la válvula de mariposa o en el cableado.","Mal funcionamiento del sensor de posición del pedal del acelerador.","Fallo en el motor de la válvula de mariposa o en el cableado."
"84","Inyección Electrónica","Al observar un oscilograma de un sensor de posición del cigüeñal, ¿cuáles podrían ser indicios de un fallo en dicho sensor?","Irregularidades en la forma de onda.","Constante voltaje en todo el ciclo.","Frecuencia constante en la forma de onda.","Ausencia total de señal.","Irregularidades en la forma de onda."
"85","Inyección Electrónica","¿Cómo se vería un oscilograma de un inyector en buen estado durante una inyección en un sistema MPI?","Una rápida apertura seguida de un cierre rápido y limpio.","Apertura lenta y constante.","Cierre abrupto sin apertura completa.","Ausencia total de actividad.","Una rápida apertura seguida de un cierre rápido y limpio."
"86","Inyección Electrónica","¿Cuáles serían señales de un fallo en el sensor de posición del árbol de levas al examinar su oscilograma?","Oscilaciones consistentes con la velocidad del motor.","Desincronización entre la señal del árbol de levas y del cigüeñal.","Señal constante en todo el ciclo.","Variaciones en la amplitud sin relación con el régimen del motor.","Desincronización entre la señal del árbol de levas y del cigüeñal."
"87","Inyección Electrónica","¿Cómo se manifestaría un problema en el regulador de presión de combustible al observar un oscilograma de la presión de combustible?","Presión constante sin cambios significativos.","Variaciones en la presión de combustible relacionadas con la carga del motor.","Rápidos aumentos y disminuciones de presión.","Ausencia total de actividad en la forma de onda.","Presión constante sin cambios significativos."
"88","Inyección Electrónica","¿Qué características de un oscilograma del sensor MAF (Flujo de Aire de Masa) podrían indicar un problema en dicho sensor?","Oscilaciones irregulares en la frecuencia del flujo de aire.","Señal constante y proporcional a la carga del motor.","Ausencia total de señal.","Variaciones en la amplitud sin relación con la carga del motor.","Oscilaciones irregulares en la frecuencia del flujo de aire."
"89","Inyección Electrónica","¿Cuáles podrían ser señales de un fallo en el sistema de encendido al examinar un oscilograma de la señal de la bobina de encendido?","Irregularidades en la forma de onda durante la fase de encendido.","Forma de onda constante y sin cambios.","Ausencia total de actividad en la forma de onda.","Frecuencia constante durante todo el ciclo de encendido.","Irregularidades en la forma de onda durante la fase de encendido."
"90","Inyección Electrónica","Al analizar un oscilograma de la señal de un sensor de temperatura del refrigerante, ¿qué indicaría un problema en dicho sensor?","Variaciones en la amplitud sin relación con la carga del motor.","Oscilaciones inconsistentes con la temperatura del motor.","Forma de onda constante y proporcional a la carga del motor.","Ausencia total de señal.","Oscilaciones inconsistentes con la temperatura del motor."
"91","Inyección Electrónica","¿Cómo se vería un oscilograma de la presión de admisión en un cilindro durante la fase de admisión en un motor MPI en buen estado?","Constante y sin cambios significativos.","Rápida disminución seguida de un aumento gradual.","Ausencia total de actividad en la forma de onda.","Variaciones en la amplitud sin relación con la carga del motor.","Rápida disminución seguida de un aumento gradual."
"92","Inyección Electrónica","¿Qué características de un oscilograma de la señal del sensor de posición del acelerador podrían indicar un problema en dicho sensor?","Voltaje constante y proporcional a la carga del motor.","Oscilaciones inconsistentes con la posición del acelerador.","Ausencia total de señal.","Variaciones en la amplitud sin relación con la carga del motor.","Oscilaciones inconsistentes con la posición del acelerador."
"93","Inyección Electrónica","¿Cuáles podrían ser las consecuencias de una presión de combustible demasiado baja en un sistema GDI?","Dificultades en la inyección y atomización del combustible.","Aumento en la eficiencia del combustible.","Mayor formación de depósitos en las válvulas de admisión.","Reducción en las emisiones de CO2.","Dificultades en la inyección y atomización del combustible."
"94","Inyección Electrónica","¿Qué efectos podrían producirse debido a una presión de combustible excesivamente alta en un sistema GDI?","Mayor eficiencia en la combustión.","Riesgo de daño en los inyectores y fugas de combustible.","Reducción en las emisiones de NOx.","Mejora en la atomización del combustible.","Riesgo de daño en los inyectores y fugas de combustible."
"95","Inyección Electrónica","Al observar un oscilograma de la presión de combustible en un sistema GDI, ¿cuáles podrían ser signos de un problema en el regulador de presión?","Presión constante durante todo el ciclo.","Variaciones irregulares en la presión, especialmente durante cambios de carga.","Presión constante y proporcional a la carga del motor.","Ausencia total de actividad en la forma de onda.","Variaciones irregulares en la presión, especialmente durante cambios de carga."
"96","Inyección Electrónica","¿Cómo podría afectar una válvula de alivio de presión defectuosa a la presión de combustible en un sistema GDI?","Aumento de la presión de combustible en el riel.","Reducción en la eficiencia del combustible.","Mayor atomización del combustible.","Variaciones irregulares en la presión durante la inyección.","Aumento de la presión de combustible en el riel."
