id,section,question,option1,option2,option3,option4,correct
82,"Inyección Electrónica",¿Qué relación aire-combustible corresponde a mezcla rica?,13:1,15:1,17:1,19:1,13:1
83,"Inyección Electrónica",El código P0301 indica falla de encendido en el cilindro 1. ¿Qué significa el dígito 0 en el código?,Falla genérica,Falla específica del fabricante,Falla de comunicación,Falla intermitente,Falla genérica
84,"Inyección Electrónica",¿Qué sensor detecta la velocidad de giro del cigüeñal?,CMP,CKP,TPS,ECT,CKP
85,"Inyección Electrónica",Un motor presenta humo negro y mezcla rica. ¿Cuál podría ser la causa?,Sensor MAP defectuoso,Presión de combustible alta,Filtro de aire limpio,Sensor TPS desconectado,Presión de combustible alta
86,"Inyección Electrónica",¿Qué tipo de sensor mide la temperatura del refrigerante?,MAP,TPS,ECT,MAF,ECT
87,"Inyección Electrónica",¿Cuál de las siguientes afirmaciones es cierta sobre un fallo común en el sistema de inyección MPI?,La válvula de control de presión está obstruida.,"La sonda lambda está funcionando correctamente.","La computadora del motor no está conectada.",El filtro de combustible está limpio.,La válvula de control de presión está obstruida.
88,"Inyección Electrónica",¿Qué podría causar un aumento en el consumo de combustible en un sistema de inyección MPI?,Una presión de combustible baja.,Un exceso de presión de combustible.,Inyectores de combustible obstruidos.,Válvulas de admisión selladas.,Inyectores de combustible obstruidos.
89,"Inyección Electrónica",¿Cuál es un síntoma de un regulador de presión de combustible defectuoso en un sistema MPI?,Pérdida de potencia del motor.,Exceso de humo en el escape.,Presión de combustible inconsistente.,Altas revoluciones en ralentí.,Presión de combustible inconsistente.
90,"Inyección Electrónica",¿Qué función cumple el sensor de posición del pedal del acelerador en un sistema de inyección MPI?,Controlar la temperatura del motor.,Regular la presión del combustible.,Medir la cantidad de aire admitido.,Monitorear la posición del pedal del acelerador.,Monitorear la posición del pedal del acelerador.
91,"Inyección Electrónica",¿Cuál es un posible efecto de una bujía defectuosa en un motor con sistema de inyección MPI?,Aumento de la eficiencia del combustible.,"Encendido irregular o dificultades para arrancar.","Reducción de las emisiones de escape.",Mejora en el rendimiento del ralentí.,Encendido irregular o dificultades para arrancar.
92,"Inyección Electrónica",¿Qué podría causar una mezcla de combustible y aire demasiado rica en un sistema de inyección MPI?,Filtro de aire obstruido.,Sensor de oxígeno defectuoso.,Baja presión de combustible.,"Inyectores de combustible con exceso de limpieza.",Sensor de oxígeno defectuoso.
93,"Inyección Electrónica",¿Qué podría causar un ralentí inestable en un motor con sistema de inyección MPI?,Válvula de mariposa atascada.,Bujías en buen estado.,Sensor de posición del cigüeñal defectuoso.,Filtro de aire limpio.,Válvula de mariposa atascada.
94,"Inyección Electrónica",¿Qué función cumple la sonda lambda en un sistema de inyección MPI?,Medir la cantidad de aire admitido.,Controlar la presión del combustible.,Monitorear y ajustar la mezcla aire-combustible.,Regular la temperatura del escape.,Monitorear y ajustar la mezcla aire-combustible.
95,"Inyección Electrónica",Al analizar un oscilograma de la tasa de inyección en un sistema GDI, ¿cómo se vería una variación irregular en la duración de la inyección?,Reducción en la duración de la inyección durante la fase de carga.,Puede indicar problemas en la sincronización de los inyectores o en el sistema de control.,Variación en la frecuencia de la señal.,Aumento constante en la duración de la inyección.,Puede indicar problemas en la sincronización de los inyectores o en el sistema de control.
96,"Inyección Electrónica",¿Cuál podría ser la causa de una duración de inyección variable durante la fase de ralentí en un sistema MPI?,Sensor de posición del acelerador en buen estado.,Buena calidad de combustible.,Posibles problemas en el sistema de control de ralentí.,Filtro de combustible obstruido.,Posibles problemas en el sistema de control de ralentí.
97,"Inyección Electrónica",¿Cómo se vería un oscilograma afectado por una válvula de inyección que se cierra lentamente durante la fase de carga en un sistema MPI?,Reducción en la duración de la inyección.,Aumento en la duración de la inyección durante la fase de ralentí.,Variación en la frecuencia de la señal.,Prolongación en la duración de la inyección.,Prolongación en la duración de la inyección.
98,"Inyección Electrónica",Una forma de onda de inyección que muestra un pico de corriente demasiado alto durante la deceleración. ¿Qué indica?,Normal funcionamiento en deceleración,Posibles problemas en el sistema de control de inyección durante la deceleración,Reducción en las emisiones de CO,Mayor eficiencia del sistema EGR,Posibles problemas en el sistema de control de inyección durante la deceleración
99,"Inyección Electrónica",¿Qué componente del sistema de inyección regula la presión constante de combustible en el riel (rail)?,"Bomba de alta presión","Regulador de presión de combustible","Sensor de presión absoluta del múltiple (MAP)","Válvula de mariposa electrónica",Regulador de presión de combustible
100,"Inyección Electrónica",En los sistemas Common Rail Diésel, ¿qué función cumple el sensor de presión del riel (Rail Pressure Sensor)?,"Mide la temperatura del combustible.","Mide la masa de aire.","Determina la cantidad de combustible a inyectar.","Informa a la ECU la presión exacta del combustible.",Informa a la ECU la presión exacta del combustible.
101,"Inyección Electrónica",Un código DTC P0171 indica que el sistema está demasiado pobre (Lean) en el Banco 1. ¿Cuál es una causa posible?,"Presión de combustible excesiva.","Fuga de vacío después del sensor MAF.","Inyector de combustible goteando.","Sensor de oxígeno defectuoso indicando mezcla rica.",Fuga de vacío después del sensor MAF.
102,"Inyección Electrónica",¿Cuál es la función del sensor de posición del cigüeñal (CKP) en la inyección electrónica?,"Determinar el tiempo de encendido y la velocidad del motor.","Medir la masa de aire.","Controlar la apertura de la válvula EGR.","Monitorear la temperatura del catalizador.",Determinar el tiempo de encendido y la velocidad del motor.
103,"Inyección Electrónica",En un sistema de inyección secuencial multipunto (MPI), ¿cuándo se inyecta el combustible?,"Simultáneamente en todos los cilindros.","De forma grupal (por bancos de cilindros).","Individualmente en cada cilindro, sincronizado con la válvula de admisión.","Continuamente en el múltiple de admisión.",Individualmente en cada cilindro, sincronizado con la válvula de admisión.
104,"Inyección Electrónica",¿Qué sensor es el principal responsable de la corrección del "trim de combustible" a largo plazo (Long Term Fuel Trim)?,"Sensor de posición del acelerador (TPS)","Sensor de oxígeno (Sonda Lambda)","Sensor de temperatura del aire de admisión (IAT)","Sensor de detonación (Knock Sensor)",Sensor de oxígeno (Sonda Lambda)
105,"Inyección Electrónica",Una resistencia de 1.5 ohmios medida en un inyector de combustible indica que es un inyector de tipo:,"Alta impedancia (High Impedance)","Baja impedancia (Low Impedance)","Piezoeléctrico","Mecánico",Baja impedancia (Low Impedance)
106,"Inyección Electrónica",¿Cuál es el valor estequiométrico ideal (lambda = 1) para la mezcla aire-combustible en motores de gasolina?,"12.5:1","14.7:1","16.2:1","10.0:1",14.7:1
107,"Inyección Electrónica",El modo de "bucle abierto" (Open Loop) ocurre típicamente cuando:,"El motor está caliente y funcionando en crucero.","Se está calentando el motor o el sensor de oxígeno no ha alcanzado su temperatura.","El vehículo circula a alta velocidad.","El pedal del acelerador se suelta (ralentí forzado).",Se está calentando el motor o el sensor de oxígeno no ha alcanzado su temperatura.
108,"Inyección Electrónica",¿Qué tipo de sensor MAF mide la masa de aire utilizando un alambre calentado, y cuya suciedad afecta gravemente la medición?,"Vane Airflow Sensor","Hot Wire (Hilo Caliente)","Karman Vortex Sensor","Cold Wire",Hot Wire (Hilo Caliente)
109,"Inyección Electrónica",Un inyector de gasolina que gotea (no cierra correctamente) puede causar:,"Mezcla pobre y sobrecalentamiento.","Mezcla rica, humo negro y problemas de arranque en caliente.","Baja presión de combustible en el riel.","Aumento de potencia del motor.",Mezcla rica, humo negro y problemas de arranque en caliente.
110,"Inyección Electrónica",¿Qué herramienta de diagnóstico se utiliza para ver la forma de onda de voltaje/corriente de un inyector o sensor en función del tiempo?,"Multímetro digital.","Manómetro de combustible.","Osciloscopio.","Luz estroboscópica.",Osciloscopio.
111,"Inyección Electrónica",¿Qué es el "Duty Cycle" o ciclo de trabajo de un inyector?,"El tiempo que el inyector permanece abierto.","La frecuencia de la señal que lo activa.","El porcentaje de tiempo que el inyector está energizado en un ciclo de motor.","El número de veces que inyecta por ciclo.",El porcentaje de tiempo que el inyector está energizado en un ciclo de motor.
112,"Inyección Electrónica",El sistema EVAP (Evaporative Emission Control System) tiene la función de:,"Reciclar los gases de escape.","Capturar y procesar los vapores de combustible del tanque.","Aumentar la presión del combustible.","Controlar la velocidad de ralentí.",Capturar y procesar los vapores de combustible del tanque.
113,"Inyección Electrónica",En el diagnóstico de un sensor MAP, si el motor está en ralentí (vacío alto), el voltaje de señal debe ser:,"Alto (cercano a 5V)","Bajo (cercano a 1V)","Variable sin patrón fijo","Constante a 2.5V",Bajo (cercano a 1V)
114,"Inyección Electrónica",¿Cuál es la función del calentador (heater) en un sensor de oxígeno de cuatro hilos (Zirconia)?,"Aumentar la presión en el escape.","Permitir que el sensor alcance la temperatura operativa más rápido.","Medir la temperatura del gas de escape.","Generar la señal de voltaje.",Permitir que el sensor alcance la temperatura operativa más rápido.
115,"Inyección Electrónica",La inyección directa de gasolina (GDI) inyecta el combustible:,"En el múltiple de admisión.","Directamente en la cámara de combustión.","Antes de la válvula de mariposa.","En el cárter del motor.",Directamente en la cámara de combustión.
116,"Inyección Electrónica",En un sistema GDI, ¿qué presiones de combustible son comunes?,"Baja presión (3-5 bar)","Media presión (20-50 bar)","Alta presión (50-200 bar)","Presión de vacío",Alta presión (50-200 bar)
117,"Inyección Electrónica",¿Qué tipo de sensor de oxígeno (Lambda) se utiliza para mediciones más precisas y se encuentra comúnmente en GDI?,"Narrowband (Banda estrecha)","Wideband (Banda ancha)","Calentado de un solo hilo","Mecánico",Wideband (Banda ancha)
118,"Inyección Electrónica",Si la señal del sensor TPS (Throttle Position Sensor) no varía al presionar el acelerador, el motor podría presentar:,"Ralentí estable.","Funcionamiento normal.","Dificultad para acelerar o entrar en modo de emergencia (limp mode).","Alto consumo de combustible.",Dificultad para acelerar o entrar en modo de emergencia (limp mode).
119,"Inyección Electrónica",¿Qué significa la letra "B" en un código de falla OBD-II como B0001?,"Tren de fuerza (Powertrain)","Carrocería (Body)","Chasis (Chassis)","Red de comunicación (Network)",Carrocería (Body)
120,"Inyección Electrónica",¿Qué componente controla la cantidad de aire que entra al múltiple de admisión en ralentí si no hay válvula de mariposa electrónica?,"Válvula PCV","Válvula EGR","Válvula IAC (Idle Air Control)","Bomba de aire secundario",Válvula IAC (Idle Air Control)
121,"Inyección Electrónica",El combustible "diésel" se inyecta en la cámara de combustión durante la fase de:,"Admisión","Compresión","Expansión","Escape",Compresión
122,"Inyección Electrónica",El pre-encendido (pre-ignition) en un motor de gasolina se debe a:,"Bujía fría.","Exceso de combustible.","Puntos calientes en la cámara de combustión (antes de la chispa).","Uso de gasolina con alto octanaje.",Puntos calientes en la cámara de combustión (antes de la chispa).
123,"Inyección Electrónica",¿Qué función tiene el "Turbocharger" o turbocompresor?,"Reducir el consumo de combustible.","Enfriar el aire de admisión.","Forzar más aire al motor (sobrealimentación).","Controlar el encendido.",Forzar más aire al motor (sobrealimentación).
124,"Inyección Electrónica",En la inyección Common Rail, ¿quién genera la muy alta presión de combustible?,"La bomba de transferencia.","La bomba de alta presión.","El regulador de presión.","Los inyectores piezoeléctricos.",La bomba de alta presión.
125,"Inyección Electrónica",¿Qué es la "dosificación piloto" (Pilot Injection) en sistemas diésel modernos?,"Una inyección para encender el motor.","Una inyección pequeña antes de la principal para reducir el ruido y las emisiones.","La inyección principal de potencia.","La inyección después de la combustión para regeneración del DPF.",Una inyección pequeña antes de la principal para reducir el ruido y las emisiones.
126,"Inyección Electrónica",Un DTC P0201 indica una falla en el circuito del inyector del cilindro 1. ¿Qué se debe verificar primero con un multímetro?,"Resistencia del inyector y voltaje de alimentación.","Presión de combustible.","Sincronización del árbol de levas.","Temperatura del refrigerante.",Resistencia del inyector y voltaje de alimentación.
127,"Inyección Electrónica",¿Qué efecto tiene una presión de combustible demasiado baja en un sistema MPI?,"Mezcla rica y humo negro.","Mezcla pobre, fallos de encendido y falta de potencia.","Ralentí alto.","Mejor combustión.",Mezcla pobre, fallos de encendido y falta de potencia.
128,"Inyección Electrónica",La inyección electrónica ajusta el tiempo de inyección (ancho de pulso) basándose principalmente en las lecturas de:,"Sensor de velocidad de rueda y ABS.","Sensor MAF/MAP y Sonda Lambda.","Sensor de presión de neumáticos.","Sensor de nivel de aceite.",Sensor MAF/MAP y Sonda Lambda.
129,"Inyección Electrónica",¿Cuál es la función del catalizador de tres vías?,"Reducir el consumo.","Convertir CO, HC y NOx en H₂O, CO₂ y N₂.","Aumentar la potencia.","Filtrar partículas sólidas.",Convertir CO, HC y NOx en H₂O, CO₂ y N₂.
130,"Inyección Electrónica",Si el motor está en "Condición de inundación" (flooded), la ECU:,"Aumenta el tiempo de inyección.","Corta la inyección y mantiene la chispa (Modo Clear Flood).","Activa el ventilador.","Cierra la válvula EGR.",Corta la inyección y mantiene la chispa (Modo Clear Flood).
131,"Inyección Electrónica",¿Qué puede causar que un sensor MAF informe de un flujo de aire menor al real?,"Un filtro de aire nuevo.","Una fuga de vacío después del sensor.","Obstrucción o suciedad en el hilo caliente.","Alta presión de combustible.",Obstrucción o suciedad en el hilo caliente.
132,"Inyección Electrónica",Un DTC P0420 ("Eficiencia del sistema catalizador por debajo del umbral") generalmente indica un fallo en:,"El sensor de oxígeno antes del catalizador.","El sensor de oxígeno después del catalizador o el catalizador mismo.","El sensor CKP.","La bomba de combustible.",El sensor de oxígeno después del catalizador o el catalizador mismo.
133,"Inyección Electrónica",¿Qué es el "Adaptive Learning" o aprendizaje adaptativo de la ECU?,"La capacidad de actualizar el software.","La capacidad de ajustar los mapas de combustible a largo plazo basándose en las condiciones operativas.","La memorización de las estaciones de radio.","El control de la velocidad de crucero.",La capacidad de ajustar los mapas de combustible a largo plazo basándose en las condiciones operativas.
134,"Inyección Electrónica",¿Qué sensor utiliza el "Efecto Hall" para generar una señal de onda cuadrada digital?,"Sensor de temperatura.","Sensor de presión.","Sensor CKP/CMP inductivo.","Sensor CKP/CMP de Efecto Hall.",Sensor CKP/CMP de Efecto Hall.
135,"Inyección Electrónica",En la inyección Common Rail, el inyector es accionado por:,"El árbol de levas.","La presión hidráulica del aceite.","Una señal eléctrica (solenoide o piezoeléctrico).","Un cable mecánico.",Una señal eléctrica (solenoide o piezoeléctrico).
136,"Inyección Electrónica",¿Qué voltaje de señal es típico para un sensor de oxígeno Narrowband (Zirconia) en mezcla rica?,"Cercano a 0.1 V","Cercano a 0.9 V","Constante a 0.45 V","Variable de 2.5 V a 5 V",Cercano a 0.9 V
137,"Inyección Electrónica",Una falla en la válvula EGR (Exhaust Gas Recirculation) puede causar:,"Mezcla pobre y sobrecalentamiento.","Aumento de la temperatura de la cámara de combustión y mayores emisiones de NOx.","Mejor aceleración.","Mejor economía de combustible.",Aumento de la temperatura de la cámara de combustión y mayores emisiones de NOx.
138,"Inyección Electrónica",¿Qué prueba se utiliza para comprobar la hermeticidad (sellado) de un inyector?,"Prueba de estanqueidad (Leak Test).","Prueba de caudal.","Prueba de resistencia.","Prueba de aceleración.",Prueba de estanqueidad (Leak Test).
139,"Inyección Electrónica",Si la ECU detecta un cortocircuito a masa en el circuito de control de un inyector, ¿qué acción toma típicamente?,"Aumenta el voltaje.","Corta el pulso de inyección (para proteger la ECU y el inyector).","Activa el ventilador.","Ignora la falla.",Corta el pulso de inyección (para proteger la ECU y el inyector).
